Faculty Name,Faculty Rank,Faculty Area,Faculty Profile,Faculty Homepage,Faculty Research Interests
Greg Baker,UNIVERSITY LECTURER,Instruction,https://www.sfu.ca/computing/people/faculty/gregbaker.html,http://www.cs.sfu.ca/~ggbaker/,[]
Andrei Bulatov,Professor,"Constraint Satisfaction, Complexity of Computation",https://www.sfu.ca/computing/people/faculty/andreibulatov.html,http://www.cs.sfu.ca/~abulatov/,"['Constraint Problems', 'Computational Complexity', 'Combinatorics', 'Clone Theory And Universal Algebra']"
Angel Chang,Assistant Professor ,"Natural Language Processing, Artificial Intelligence, Computer Graphics, Computer Vision",https://www.sfu.ca/computing/people/faculty/angelchang11111111.html,,"['Natural Language Processing', 'Grounded Natural Language Understanding', 'Linking Natural Language With Visual And 3D Representations', 'Common Sense Reasoning For Artificial Intelligence']"
SHEELAGH CARPENDALE,PROFESSOR,Information Visualization,https://www.sfu.ca/computing/people/faculty/sheelaghcarpendale111111111.html,,"['Information Visualization,Interaction Design, Large Display Interaction, Visual Analytics, Personal Visualization, Human Computer Interaction, Interactive Technologies,Collaborative Interaction, Open Data, Data Empowerment']"
LEONID CHINDELEVITCH,ASSISTANT PROFESSOR,Computational Biology,http://www.sfu.ca/computing/people/faculty/leonidchindelevitch.html,http://www.sfu.ca/~leonid,"['Bioinformatics', 'Computational Biology', 'Computational Epidemiology Of Infectious Diseases']"
Diana Cukierman,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/dianacukierman.html,,"['Computing Science Education', 'Learning Strategies Tailored To Cs And Stem Disciplines (See Academic Enhancement Program)', 'Pedagogy, Active Learning, Communication Skills', 'Artificial Intelligence']"
James P. Delgrande,Professor,Formal Aspects of Knowledge Representation,https://www.sfu.ca/computing/people/faculty/jamesdelgrande.html,http://www.cs.sfu.ca/~jim/,"['Knowledge Representation And Reasoning', 'Belief Change', 'Reasoning About Action And Change', 'Nonmonotonic Reasoning', 'Preference Handling']"
Toby Donaldson,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/tobydonaldson.html,,[]
John Edgar,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/johnedgar.html,,"['Algorithm Animations, Designing (And Playing) Games.']"
Martin Ester,Professor,Databases and Data Mining,https://www.sfu.ca/computing/people/faculty/martinester.html,https://author.sfu.ca/cf#/content/sfu/computing/people/faculty/martinester/people.html,"['Social Network Analysis', 'Recommender Systems', 'Opinion Mining And Information Extraction', 'Biological Network Analysis', 'Next-Gen Sequencing']"
Brian Fraser,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/brianfraser.html,http://www.cs.sfu.ca/~bfraser/,[]
Yasutaka Furukawa,Assistant Professor,"Computer Vision, Deep Learning, Computer Graphics & Computational Photography",https://www.sfu.ca/computing/people/faculty/yasutakafurukawa1.html,http://www.cs.sfu.ca/~furukawa/,"['Computer Vision', 'Deep Learning', 'Computer Graphics', 'Computational Photography']"
Uwe Glässer,Professor,"Software Technology, Distributed Communication Architectures",https://www.sfu.ca/computing/people/faculty/uweglasser.html,http://www.cs.sfu.ca/~glaesser/,"['Big Data Intelligence', 'Situation Analysis And Decision Support', 'Criminal Network Analysis', 'Cybersecurity']"
Mohamed Hefeeda,Professor,"Computer Networks, Multimedia Communications",https://www.sfu.ca/computing/people/faculty/mohamedhefeeda.html,http://www.cs.sfu.ca/~mhefeeda/,"['Multimedia Networking Over Wired And Wireless Networks', 'Peer-To Peer Systems', 'Internet Protocols', 'Cloud And High-Performance Computing']"
Harinder Singh Khangura,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/harindersinghkhangura.html,http://www.cs.sfu.ca/~hskhangu/,"['The Social Impact Of Computers On Our Lives, Such As Free Speech, Privacy, Ethics, Access, And Intellectual Property.']"
Anne Lavergne,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/annelavergne.html,http://www.cs.sfu.ca/~alavergn/,[]
Maxwell Libbrecht,Assistant Professor,Computational Biology and Machine Learning,https://www.sfu.ca/computing/people/faculty/maxlibbrecht11.html,http://www.cs.sfu.ca/~maxwl/,"['Machine Learning', 'Probabilistic Modeling', 'Unsupervised Learning', 'Submodular Optimization', 'Genomics', 'Gene Regulation']"
Jiangchuan (JC) Liu,Professor,Networking and multimedia communications,https://www.sfu.ca/computing/people/faculty/jiangchuanliu.html,http://www.cs.sfu.ca/~jcliu/,"['Internet Architecture And Protocols', 'Multimedia Content, Distribution, And Processing', 'Wireless Mobile Networking', 'Cloud Computing And Big Data Networking', 'Online Gaming And Social Networking']"
David Mitchell,Associate Professor,"Constraint satisfaction, Algorithms for deduction and other reasoning tasks",https://www.sfu.ca/computing/people/faculty/davidmitchell.html,http://www.cs.sfu.ca/~mitchell/,['Propositional Satisfiability And Finite Domain Constraint Satisfaction Results On The Complexity Of These Problems Aspects Of Design Of Practical Algorithms For Sat And Csp Application To Formal Verification And Related Tasks']
Jian Pei,Professor,Databases and Data Mining,https://www.sfu.ca/computing/people/faculty/jianpei.html,http://www.cs.sfu.ca/~jpei/,"['Data Mining', 'Data Warehousing And Online Analytic Processing (Olap)', 'Database Systems', 'Bioinformatics']"
Fred Popowich,Professor,Computational Linguistics and Logic Programming,https://www.sfu.ca/computing/people/faculty/fredpopowich.html,http://www.cs.sfu.ca/~popowich/,"['How Computers Can Be Used To Process Human Language Either To Make It Easier For Human Beings To Interact With Computers, Or To Make It Easier For Human Beings To Interact With Each Other.', 'Intelligent Systems And Their Applications']"
Arrvindh Shriraman,Associate Professor,"Systems architecture, hardware-software interactions, parallelism, sychronization and imporoving software reliability within specialized fields.",https://www.sfu.ca/computing/people/faculty/ArrvindhShriraman.html,http://www.cs.sfu.ca/~ashriram/,"['Improving Energy Efficiency Of Software', 'Multicore Memory Systems', 'Hardware/Software Interface For Improving Programming', 'Synchronization']"
William (Nick) Sumner,Assistant Professor,"Automated debugging, debugging tools, concurrency & parallelism, program analysis & transformation",https://www.sfu.ca/computing/people/faculty/NickSumner.html,http://www.cs.sfu.ca/~wsumner/,"['Automated Debugging & Debugging Tools', 'Concurrency & Parallelism', 'Program Analysis & Transformation']"
Manolis Savva,Assistant Professor ,"Computer Graphics, Computer Vision, Deep Learning",https://www.sfu.ca/computing/people/faculty/manolissavva1111111.html,,"['Human-Centric 3D Scene Analysis', 'Generative Methods For 3D Content Creation', 'Computer Graphics For Artificial Intelligence']"
IGOR SHINKAR,ASSISTANT Professor,Computational complexity,https://www.sfu.ca/computing/people/faculty/igorshinkar11111.html,https://www.cs.sfu.ca/~ishinkar/,"['Computational Complexity', 'Property Testing', 'Discrete Mathematics', 'Probability Theory']"
Ping Tan,Associate Professor,"Computer Vision, Computer Graphics, Robotics",https://www.sfu.ca/computing/people/faculty/pingtan.html,http://www.cs.sfu.ca/~pingtan/,"['Computer Vision', 'Computer Graphics', 'Robotics']"
Eugenia Ternovska,Associate Professor,"Logical aspects of AI, Knowledge Representation and Reasoning, Efficient Reasoning, Descriptive Complexity and Formal Verification.",https://www.sfu.ca/computing/people/faculty/EugeniaTernovska.html,http://www.cs.sfu.ca/~ter/,"['Logic-Based Artificial Intelligence', 'Knowledge Representation', 'Efficient Reasoning']"
Keval Vora,Assistant Professor,"Parallel & Distributed Computing, Irregular Big Data Processing and High Performance Computing",https://www.sfu.ca/computing/people/faculty/kevalvora111.html,http://www.cs.sfu.ca/~keval/,"['Parallel & Distributed Computing', 'Irregular Big Data Processing', 'High Performance Computing']"
